Raised,ESG,E,S,G,Cluster
8.685077390129672392e-02,1.000000000000000021e-02,8.000000000000000167e-03,2.000000000000000042e-03,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,1.799999999999999864e-02,1.000000000000000021e-02,6.000000000000000125e-03,2.000000000000000042e-03,0.000000000000000000e+00,1.000000000000000000e+00
-2.708796929508967485e-02,1.400000000000000029e-02,1.000000000000000021e-02,0.000000000000000000e+00,4.000000000000000083e-03,7.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,8.000000000000000167e-03,6.000000000000000125e-03,0.000000000000000000e+00,2.000000000000000042e-03,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.700000000000000122e-02,0.000000000000000000e+00,1.099999999999999936e-02,6.000000000000000125e-03,0.000000000000000000e+00,1.000000000000000000e+00
1.481435971775413751e+00,1.099999999999999936e-02,0.000000000000000000e+00,1.099999999999999936e-02,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,8.000000000000000167e-03,8.000000000000000167e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.623208004073739330e-01,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03,4.000000000000000000e+00,0.000000000000000000e+00
-1.794461276713363862e-01,1.400000000000000029e-02,1.000000000000000021e-02,2.000000000000000042e-03,2.000000000000000042e-03,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.000000000000000021e-02,8.000000000000000167e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.131567167123045253e-01,6.000000000000000125e-03,6.000000000000000125e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
-9.124826661630093538e-02,1.200000000000000025e-02,6.000000000000000125e-03,2.000000000000000042e-03,4.000000000000000083e-03,4.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.099999999999999936e-02,0.000000000000000000e+00,8.999999999999999320e-03,2.000000000000000042e-03,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.099999999999999936e-02,0.000000000000000000e+00,1.099999999999999936e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000042e-03,8.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,2.000000000000000042e-03,0.000000000000000000e+00,2.000000000000000042e-03,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,0.000000000000000000e+00,2.000000000000000042e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
5.750188469219445153e+00,1.499999999999999944e-02,0.000000000000000000e+00,1.099999999999999936e-02,4.000000000000000083e-03,8.000000000000000000e+00,1.000000000000000000e+00
1.645662639436489272e+00,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03,6.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,2.000000000000000042e-03,4.000000000000000083e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
4.999430444148598718e-01,1.499999999999999944e-02,0.000000000000000000e+00,1.499999999999999944e-02,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
-1.871482047344773803e-01,6.000000000000000125e-03,0.000000000000000000e+00,6.000000000000000125e-03,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.099999999999999936e-02,2.000000000000000042e-03,8.999999999999999320e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.645625976409448743e+00,8.000000000000000167e-03,0.000000000000000000e+00,6.000000000000000125e-03,2.000000000000000042e-03,6.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,6.000000000000000125e-03,0.000000000000000000e+00,4.000000000000000083e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.400000000000000029e-02,0.000000000000000000e+00,8.999999999999999320e-03,6.000000000000000125e-03,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.099999999999999936e-02,0.000000000000000000e+00,8.999999999999999320e-03,2.000000000000000042e-03,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.099999999999999936e-02,0.000000000000000000e+00,1.099999999999999936e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.520013553196184253e-01,8.000000000000000167e-03,0.000000000000000000e+00,6.000000000000000125e-03,2.000000000000000042e-03,6.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.299999999999999940e-02,0.000000000000000000e+00,1.099999999999999936e-02,2.000000000000000042e-03,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,8.000000000000000167e-03,0.000000000000000000e+00,6.000000000000000125e-03,2.000000000000000042e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874882543102797949e-01,8.000000000000000167e-03,0.000000000000000000e+00,2.000000000000000042e-03,6.000000000000000125e-03,1.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,1.799999999999999864e-02,1.400000000000000029e-02,0.000000000000000000e+00,4.000000000000000083e-03,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,8.000000000000000167e-03,6.000000000000000125e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.706760108017162103e-01,1.000000000000000021e-02,8.000000000000000167e-03,0.000000000000000000e+00,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,1.000000000000000021e-02,4.000000000000000083e-03,6.000000000000000125e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.874887125981178071e-01,8.000000000000000167e-03,6.000000000000000125e-03,2.000000000000000042e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-9.260434032896852630e-02,1.400000000000000029e-02,6.000000000000000125e-03,4.000000000000000083e-03,4.000000000000000083e-03,4.000000000000000000e+00,1.000000000000000000e+00
6.346003762203794585e-02,4.000000000000000083e-03,0.000000000000000000e+00,2.000000000000000042e-03,2.000000000000000042e-03,4.000000000000000000e+00,0.000000000000000000e+00
-1.874887125981178071e-01,4.000000000000000083e-03,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000083e-03,1.000000000000000000e+00,1.000000000000000000e+00
