id,StartUp,Country,Year,Raised,ESG,E,S,G,Cluster
1082,VICoin,Ireland,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1083,Vyral,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1085,Wide Energy,United Kingdom,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1086,YouRa,Estonia,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1087,4lions.pro,Russian Federation,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1088,777.Bingo,Singapore,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1089,Aiq,United Kingdom,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1090,Alchemint,Singapore,0,30000000.0,0.006,0.0,0.002,0.004,"(0, 2)"
1091,ARPA,China,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1092,Asmbler,Israel,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1093,Avai Football Club,Brazil,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1094,Beeton DApp,Cayman Islands,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1095,BeonBOX,Japan,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1096,Bess Coin,Germany,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1097,BINEX.TRADE,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1098,Biostem,Malaysia,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1099,BitBase,Germany,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1100,Bizkey,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1101,Blaze Protocol,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1102,BlingFinance,Panama,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1103,Clears,"Hong Kong SAR, China",2018,11761164.0,0.004,0.0,0.0,0.004,"(0, 2)"
1104,ClickAuto,Russian Federation,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1105,CNN,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1106,ConferenceCoin,Poland,2018,0.0,0.006,0.0,0.002,0.004,"(4, 4)"
1107,CRYPTTO,British Virgin Islands,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1108,dApp Builder,Russian Federation,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1109,DATx,Singapore,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1110,Deep Gold,Russian Federation,2017,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1111,DeepToken,Singapore,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1112,DenAR,United Kingdom,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1113,Earthmedz,Australia,0,0.0,0.013,0.0,0.011,0.002,"(4, 4)"
1114,Fluence,Russian Federation,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1115,Gadcoin,Brazil,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1116,Game Gold,Costa Rica,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1117,Gcd Coin,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1118,GovBlocks,Belarus,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1119,Hathor,Brazil,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1120,iAqua,Australia,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1121,Intellectual.Network,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1122,Jarvis+,Belarus,0,1494172.0,0.0,0.0,0.0,0.0,"(3, 1)"
1123,Layer Protocol,United States,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1125,Margin,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1126,Mavo Token,"Hong Kong SAR, China",0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1127,MDK,Russian Federation,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1128,Media Sifter,Denmark,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1129,Mthereum,Malaysia,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1130,Nevula,Singapore,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1131,NULS,China,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1132,Octaneum,United States,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1133,Omega One,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1134,One Share,Germany,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
